bag_size,num_epochs,learning_rate,pooling_type,target_digit_mean,test_accuracy_mean,test_f1_score_mean,target_digit_std,test_accuracy_std,test_f1_score_std
10,5,0.0001,attention,0.0,0.9827999999999999,0.9874042598311992,0.0,0.003033150177620628,0.0022218895353813394
10,5,0.0001,max,0.0,0.9842000000000001,0.9884140556916208,0.0,0.0017888543819998427,0.0012840096248155045
10,5,0.0001,mean,0.0,0.9718,0.9792631807317272,0.0,0.002949576240750556,0.0022238819473980264
10,5,0.001,attention,0.0,0.9858,0.9896127589831376,0.0,0.0037682887362833588,0.002706340660393768
10,5,0.001,max,0.0,0.992,0.9941230231747269,0.0,0.0017320508075688709,0.0012591073234767846
10,5,0.001,mean,0.0,0.9885999999999999,0.9916418158482546,0.0,0.004449719092257392,0.0032124413368849513
10,5,0.01,attention,0.0,0.679,0.8088147706968434,0.0,0.0,0.0
10,5,0.01,max,0.0,0.679,0.8088147706968434,0.0,0.0,0.0
10,5,0.01,mean,0.0,0.679,0.8088147706968434,0.0,0.0,0.0
10,10,0.0001,attention,0.0,0.9856,0.9894897014551258,0.0,0.004827007354458867,0.0034739109552271194
10,10,0.0001,max,0.0,0.9890000000000001,0.9919269395508816,0.0,0.003240370349203941,0.002362194688429171
10,10,0.0001,mean,0.0,0.9814,0.986390240725551,0.0,0.0023021728866442306,0.0016727576009246937
10,10,0.001,attention,0.0,0.9906,0.9931080442743984,0.0,0.00563914887194869,0.004097188840982573
10,10,0.001,max,0.0,0.9906,0.9930980200777775,0.0,0.0027018512172212223,0.0019722726635381708
10,10,0.001,mean,0.0,0.9917999999999999,0.9939663018817422,0.0,0.0025884358211089205,0.0018955624459461415
10,10,0.01,attention,0.0,0.679,0.8088147706968434,0.0,0.0,0.0
10,10,0.01,max,0.0,0.679,0.8088147706968434,0.0,0.0,0.0
10,10,0.01,mean,0.0,0.679,0.8088147706968434,0.0,0.0,0.0
15,5,0.0001,attention,0.0,0.9819819819819819,0.9891348352504522,0.0,0.0028090520921726656,0.001721159464868633
15,5,0.0001,max,0.0,0.9813813813813814,0.9888220546246579,0.0,0.005371935081080485,0.0031646449195878042
15,5,0.0001,mean,0.0,0.9681681681681681,0.9808710682417614,0.0,0.004166497575228702,0.002371322014165161
15,5,0.001,attention,0.0,0.9906906906906906,0.9943946862746031,0.0,0.0038865402719353904,0.0023302259100923986
15,5,0.001,max,0.0,0.9825825825825826,0.9895794345840911,0.0,0.014188990576489391,0.008321921160949318
15,5,0.001,mean,0.0,0.9897897897897897,0.9938431379874461,0.0,0.0038865402719353514,0.0023264239172849496
15,5,0.01,attention,0.0,0.857057057057057,0.9215109635795489,0.0,0.06647769662837215,0.035789660104564885
15,5,0.01,max,0.0,0.8531531531531531,0.919078285657803,0.0,0.05774830212161618,0.03035002690417827
15,5,0.01,mean,0.0,0.8273273273273272,0.9055053410024649,0.0,0.0,0.0
15,10,0.0001,attention,0.0,0.982882882882883,0.989718878649297,0.0,0.007477417175969129,0.004424563615209753
15,10,0.0001,max,0.0,0.987087087087087,0.9922446304933308,0.0,0.007401656182502203,0.0043835879880745506
15,10,0.0001,mean,0.0,0.9792792792792794,0.9875510886896348,0.0,0.003886540271935364,0.0023107249158654114
15,10,0.001,attention,0.0,0.9873873873873874,0.9923807059999916,0.0,0.0032896249700009607,0.002015016811841826
15,10,0.001,max,0.0,0.9897897897897897,0.9938401390491457,0.0,0.0026859675405402892,0.001620135817464357
15,10,0.001,mean,0.0,0.9885885885885888,0.9931446327442839,0.0,0.006847900451045953,0.004096081235911707
15,10,0.01,attention,0.0,0.854954954954955,0.9202338285589983,0.0,0.0617772534324266,0.03293389938216826
15,10,0.01,max,0.0,0.8552552552552551,0.920389674261826,0.0,0.06244874531756167,0.033282380967692156
15,10,0.01,mean,0.0,0.8273273273273272,0.9055053410024649,0.0,0.0,0.0
20,5,0.0001,attention,0.0,0.99,0.9944288152099023,0.0,0.004000000000000028,0.0022331202088831654
20,5,0.0001,max,0.0,0.9843999999999999,0.9912617342623976,0.0,0.009099450532861863,0.005178933025311744
20,5,0.0001,mean,0.0,0.9183999999999999,0.9564658423272976,0.0,0.02206354459283453,0.011188123387071175
20,5,0.001,attention,0.0,0.9932000000000001,0.9961944870715073,0.0,0.005215361924162131,0.002948275866048393
20,5,0.001,max,0.0,0.9536,0.9753603654295592,0.0,0.05294147712332931,0.027799164639460715
20,5,0.001,mean,0.0,0.9488,0.9726810050213291,0.0,0.048838509395762675,0.025528552254267256
20,5,0.01,attention,0.0,0.8960000000000001,0.9451476793248943,0.0,0.0,0.0
20,5,0.01,max,0.0,0.8960000000000001,0.9451476793248943,0.0,0.0,0.0
20,5,0.01,mean,0.0,0.8960000000000001,0.9451476793248943,0.0,0.0,0.0
20,10,0.0001,attention,0.0,0.9892,0.9940076211742074,0.0,0.0036331804249169885,0.002005950922185853
20,10,0.0001,mean,0.0,0.984,0.9910514541387024,,,
20,10,0.001,attention,0.0,0.9955999999999999,0.9975498531172983,0.0,0.0026076809620810535,0.0014473802820666275
20,10,0.001,max,0.0,0.9388,0.9665899220436597,0.0,0.05254712170994712,0.028482675009311738
20,10,0.001,mean,0.0,0.9548,0.976054861807808,0.0,0.05373267162537145,0.028247042346861984
20,10,0.01,attention,0.0,0.8960000000000001,0.9451476793248943,0.0,0.0,0.0
20,10,0.01,max,0.0,0.8960000000000001,0.9451476793248943,0.0,0.0,0.0
20,10,0.01,mean,0.0,0.8960000000000001,0.9451476793248943,0.0,0.0,0.0
